Index, Tone Amp, Raw amp, Silence Amp
1 , 34.27694178753614 , 34.475149290809824 , 0.19820750327368927
2 , 34.409938608731466 , 34.48138805762868 , 0.07144944889721194
3 , 34.41801580036934 , 34.49527485841509 , 0.07725905804574787
4 , 33.658802683034516 , 33.74170093136177 , 0.0828982483272524
5 , 33.63495107453705 , 33.7076711911837 , 0.07272011664665325
6 , 33.617539214995794 , 33.69496573157021 , 0.07742651657441342
7 , 34.1910924917862 , 34.274800028924645 , 0.08370753713844466
8 , 34.12547384107163 , 34.192075765732135 , 0.06660192466050024
9 , 34.12294101151771 , 34.195454985021726 , 0.0725139735040166
10 , 31.147292040778776 , 32.447784769691495 , 1.3004927289127197
11 , 31.12624906535048 , 32.45020610374069 , 1.3239570383902104
12 , 31.10719003013656 , 32.43675437597184 , 1.3295643458352768
13 , 18.68514804892353 , 19.596229725164708 , 0.9110816762411795
14 , 19.0656286183754 , 19.993723406316835 , 0.9280947879414375
15 , 19.171565558871777 , 20.091876760698227 , 0.9203112018264521
